Column1,Column2,Full Address,Latitude,Longitude
Tangarfa,Morocco,Tangarfa Morocco ,30.6603427,-8.037768999999999
Sidi Bettache,Morocco,Sidi Bettache Morocco ,33.5684821,-6.8914024
Zaïo,Morocco,Zaïo Morocco ,34.9363523,-2.7431421
Ain Tizgha,Morocco,Ain Tizgha Morocco ,33.6661595,-7.0720296
Temsia,Morocco,Temsia Morocco ,30.3690967,-9.4144962
Chichaoua,Morocco,Chichaoua Morocco ,31.5478262,-8.7583828
Boujniba,Morocco,Boujniba Morocco ,32.901093,-6.7761686
Sidi Moussa Ben Ali,Morocco,Sidi Moussa Ben Ali Morocco ,33.5528353,-7.380019900000001
Lahraouyine,Morocco,Lahraouyine Morocco ,33.5474683,-7.538263600000001
Missour,Morocco,Missour Morocco ,33.0460809,-3.9954969
Boukhalef,Morocco,Boukhalef Morocco ,35.7358498,-5.890794
Sabaa Aiyoun,Morocco,Sabaa Aiyoun Morocco ,33.9053487,-5.3756344
Tikiouine,Morocco,Tikiouine Morocco ,30.3797671,-9.5033938
Tan-Tan,Morocco,Tan-Tan Morocco ,28.4380408,-11.0987374
Oulad Abbou,Morocco,Oulad Abbou Morocco ,33.1155425,-7.9347713
Tata,Morocco,Tata Morocco ,29.750877,-7.975634299999999
Méchouar Fès Jdid,Morocco,Méchouar Fès Jdid Morocco ,34.0559976,-4.998745899999999
