,Prix,Etage,Surface habitable,NB Salons,NB Chambres,NB Salles de Bain,Longitude,Latitude
274,1350000,3,119,1,3,2,-7.589843399999999,33.5731104
275,1380000,1,128,2,3,2,-7.589843399999999,33.5731104
276,840000,1,86,2,4,1,-6.1473964,35.1744271
277,2500000,1,133,2,3,3,-6.8498129,33.9715904
298,960000,5,99,1,2,3,-9.5925444,30.4280405
299,330000,4,65,1,2,1,-5.284117699999999,35.6196262
300,1150000,2,83,1,2,2,-6.9273969,33.9203274
301,750000,4,71,1,2,1,-7.989825799999999,31.6225224
302,1400000,6,90,2,2,2,-9.5925444,30.4280405
303,740000,1,98,2,2,1,-7.1599419,33.7734338
304,1060000,2,104,1,3,2,-7.633112999999999,33.4497542
305,480000,1,80,1,3,2,-9.5925444,30.4280405
306,340000,4,53,1,2,2,-7.589843399999999,33.5731104
308,380000,2,58,1,2,2,-7.589843399999999,33.5731104
309,1250000,3,86,1,2,2,-7.989825799999999,31.6225224
310,330000,4,56,1,2,1,-7.589843399999999,33.5731104
312,2600000,2,137,2,3,2,-6.8498129,33.9715904
313,1950000,7,150,1,2,2,-7.589843399999999,33.5731104
314,1800000,4,146,2,3,2,-7.589843399999999,33.5731104
317,1400000,1,116,2,2,2,-7.825917399999999,33.524034
319,350000,1,60,1,2,1,-2.2876645,35.0998833
320,1800000,3,130,2,3,2,-7.589843399999999,33.5731104
321,850000,1,77,1,2,2,-6.770813800000001,34.0336969
322,2150000,5,131,2,3,2,-7.589843399999999,33.5731104
323,460000,2,80,2,2,2,-5.0078451,34.0181246
324,850000,4,91,1,3,2,-7.989825799999999,31.6225224
325,1280000,3,100,1,3,2,-5.833954299999999,35.7594651
326,1280000,2,100,1,3,2,-5.833954299999999,35.7594651
327,940000,4,86,1,2,2,-7.989825799999999,31.6225224
328,1050000,3,88,2,2,1,-7.589843399999999,33.5731104
330,860000,3,115,1,2,2,-7.589843399999999,33.5731104
332,1990000,7,114,1,2,2,-7.589843399999999,33.5731104
333,850000,1,104,1,3,2,-7.384854699999999,33.6835086
335,1100000,2,100,1,3,2,-7.989825799999999,31.6225224
336,1830000,3,110,1,2,2,-6.9273969,33.9203274
337,800000,1,88,2,2,2,-7.384854699999999,33.6835086
338,1300000,2,145,2,3,2,-7.989825799999999,31.6225224
339,850000,1,89,1,2,1,-7.989825799999999,31.6225224
341,870000,3,82,1,2,2,-7.589843399999999,33.5731104
343,650000,7,100,1,1,1,-7.589843399999999,33.5731104
344,700000,6,67,1,2,1,-7.589843399999999,33.5731104
346,950000,3,90,1,2,3,-7.589843399999999,33.5731104
347,1050000,2,105,1,3,2,-7.589843399999999,33.5731104
348,1650000,1,100,2,3,2,-7.989825799999999,31.6225224
349,1802000,1,106,1,3,1,-7.060599799999999,33.8509477
367,720000,3,84,1,2,1,-7.989825799999999,31.6225224
368,450000,1,110,1,2,2,-9.5925444,30.4280405
369,750000,3,88,2,3,2,-5.833954299999999,35.7594651
370,2800000,1,172,3,3,3,-7.589843399999999,33.5731104
371,450000,4,64,1,2,1,-7.589843399999999,33.5731104
372,1700000,1,170,2,3,2,-7.589843399999999,33.5731104
374,590000,1,115,1,2,2,-5.284117699999999,35.6196262
375,1170000,4,56,1,1,1,-7.589843399999999,33.5731104
376,630000,3,73,1,2,2,-6.770813800000001,34.0336969
377,600000,1,93,1,2,1,-7.989825799999999,31.6225224
379,470000,4,73,1,2,1,-8.500711599999999,33.2316326
381,380000,2,59,1,2,1,-5.284117699999999,35.6196262
382,1180000,1,49,1,1,1,-7.589843399999999,33.5731104
383,760000,2,130,1,4,2,-7.1599419,33.7734338
385,700000,3,125,1,2,2,-7.589843399999999,33.5731104
387,290000,2,55,1,2,1,-5.833954299999999,35.7594651
388,580000,2,95,2,3,2,-5.284117699999999,35.6196262
389,300000,4,56,1,2,2,-7.589843399999999,33.5731104
392,650000,2,72,1,3,2,-6.9273969,33.9203274
393,700000,8,50,1,1,1,-9.5925444,30.4280405
394,440000,3,57,1,2,1,-9.5925444,30.4280405
395,640000,2,110,2,3,2,-6.6758408,34.2562684
396,690000,1,73,1,2,1,-7.589843399999999,33.5731104
398,410000,2,56,1,2,1,-7.589843399999999,33.5731104
399,890000,1,100,1,2,1,-5.833954299999999,35.7594651
400,850000,2,78,1,2,2,-9.5925444,30.4280405
401,960000,3,140,2,3,2,-7.384854699999999,33.6835086
403,1550000,6,99,1,2,2,-9.5925444,30.4280405
404,480000,7,90,1,2,2,-1.900155,34.681962
405,850000,2,92,3,3,2,-9.2272033,32.3008151
406,450000,1,70,1,2,1,-6.5890166,34.2540503
408,570000,1,89,1,2,1,-7.1599419,33.7734338
410,1700000,5,113,2,3,2,-6.8498129,33.9715904
411,1310000,1,131,2,3,2,-7.589843399999999,33.5731104
412,950000,1,98,1,3,1,-7.589843399999999,33.5731104
413,324000,4,54,1,2,0,-7.450382899999998,33.6353103
414,300000,4,55,1,2,1,-7.589843399999999,33.5731104
